drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
humira,Osteomalacia,60,10.93,7.22e-46,,,False,,False,1,Low — ROR only
humira,Mucosal discolouration,47,10.92,4.32e-36,,,False,,False,1,Low — ROR only
jardiance,Blood glucose fluctuation,326,10.92,0.0,,,False,,False,1,Low — ROR only
humira,Limb traumatic amputation,42,10.89,2.8400000000000004e-32,,,False,,False,1,Low — ROR only
humira,Dialysis,465,10.84,0.0,,,False,,False,1,Low — ROR only
humira,Device difficult to use,1034,10.84,0.0,,,False,,False,1,Low — ROR only
humira,Parenteral nutrition,45,10.83,2.0000000000000003e-34,,,False,,False,1,Low — ROR only
humira,Blood magnesium abnormal,61,10.82,2.37e-46,,,False,,False,1,Low — ROR only
humira,Intestinal mucosal tear,46,10.69,6.48e-35,,,False,,False,1,Low — ROR only
humira,Influenza virus test positive,39,10.51,1.9400000000000002e-29,,,False,,False,1,Low — ROR only
humira,Chondropathy,752,10.49,0.0,,,False,,False,1,Low — ROR only
humira,Chorioretinitis,42,10.48,1.3600000000000001e-31,,,False,,False,1,Low — ROR only
humira,Abnormal clotting factor,48,10.44,6.72e-36,,,False,,False,1,Low — ROR only
jardiance,Central obesity,27,10.43,3.29e-29,,,False,,False,1,Low — ROR only
humira,Therapy cessation,1348,10.34,0.0,,,False,,False,1,Low — ROR only
humira,Obliterative bronchiolitis,270,10.28,7.04e-196,,,False,,False,1,Low — ROR only
humira,Biliary dilatation,67,10.26,2.7e-49,,,False,,False,1,Low — ROR only
humira,Injection site discharge,1212,10.25,0.0,,,False,,False,1,Low — ROR only
jardiance,Disease complication,39,10.24,2.2e-41,,,False,,False,1,Low — ROR only
humira,Renal haemorrhage,47,10.22,9.71e-35,,,False,,False,1,Low — ROR only
humira,Intra-abdominal haematoma,50,10.21,6.84e-37,,,False,,False,1,Low — ROR only
jardiance,Leg amputation,70,10.15,2.63e-73,,,False,,False,1,Low — ROR only
jardiance,Food craving,51,10.14,1.54e-53,,,False,,False,1,Low — ROR only
humira,Lordosis,42,10.11,6.23e-31,,,False,,False,1,Low — ROR only
humira,Pneumonia staphylococcal,39,10.11,8.89e-29,,,False,,False,1,Low — ROR only
humira,Gastrointestinal ulcer haemorrhage,66,10.11,3.87e-48,,,False,,False,1,Low — ROR only
humira,Macular oedema,301,10.09,8.7e-216,,,False,,False,1,Low — ROR only
humira,Aortic dilatation,97,10.06,4.19e-70,,,False,,False,1,Low — ROR only
humira,Post procedural swelling,512,9.94,0.0,,,False,,False,1,Low — ROR only
jardiance,Fear of death,32,9.89,3.63e-33,,,False,,False,1,Low — ROR only
humira,Procedural complication,804,9.87,0.0,,,False,,False,1,Low — ROR only
humira,Mycoplasma infection,80,9.8,4.41e-57,,,False,,False,1,Low — ROR only
humira,Pituitary tumour,55,9.75,2.12e-39,,,False,,False,1,Low — ROR only
humira,Osteotomy,52,9.73,2.99e-37,,,False,,False,1,Low — ROR only
humira,Pancreatic steatosis,85,9.71,3.1199999999999997e-60,,,False,,False,1,Low — ROR only
humira,Anogenital warts,56,9.68,6.6299999999999996e-40,,,False,,False,1,Low — ROR only
zantac,Follicular lymphoma,116,9.66,9.7e-45,,,False,,False,1,Low — ROR only
humira,Retinal disorder,196,9.64,5.86e-137,,,False,,False,1,Low — ROR only
humira,Bronchial obstruction,37,9.59,1.71e-26,,,False,,False,1,Low — ROR only
jardiance,Pyoderma gangrenosum,53,9.58,3.49e-53,,,False,,False,1,Low — ROR only
humira,Corneal scar,41,9.53,3.71e-29,,,False,,False,1,Low — ROR only
humira,Arterial disorder,82,9.53,1.85e-57,,,False,,False,1,Low — ROR only
humira,Incision site abscess,38,9.48,5.2600000000000005e-27,,,False,,False,1,Low — ROR only
humira,Adhesion,496,9.42,0.0,,,False,,False,1,Low — ROR only
humira,Uterine dilation and curettage,99,9.4,1.4399999999999999e-68,,,False,,False,1,Low — ROR only
jardiance,Blood glucose increased,4169,9.4,0.0,,,False,,False,1,Low — ROR only
humira,Hypovitaminosis,117,9.39,8.53e-81,,,False,,False,1,Low — ROR only
humira,Skin indentation,79,9.34,1.07e-54,,,False,,False,1,Low — ROR only
humira,Macular degeneration,4008,9.33,0.0,,,False,,False,1,Low — ROR only
humira,Mumps,55,9.27,3.69e-38,,,False,,False,1,Low — ROR only
humira,Injury associated with device,1598,9.27,0.0,,,False,,False,1,Low — ROR only
humira,Endotracheal intubation,37,9.24,6.97e-26,,,False,,False,1,Low — ROR only
humira,Endoscopy,41,9.21,1.51e-28,,,False,,False,1,Low — ROR only
zantac,Breast cancer stage III,6713,9.2,0.0,,,False,,False,1,Low — ROR only
humira,Vascular dementia,68,9.17,1.22e-46,,,False,,False,1,Low — ROR only
jardiance,Urine abnormality,176,9.14,2.91e-168,,,False,,False,1,Low — ROR only
humira,Tonsillolith,35,9.07,2.98e-24,,,False,,False,1,Low — ROR only
humira,Therapy change,157,9.04,1.87e-105,,,False,,False,1,Low — ROR only
